iter	Logloss
0	0.6426270136
1	0.5985322734
2	0.5597156337
3	0.5255160835
4	0.4955017493
5	0.4691271298
6	0.4461315282
7	0.4258165975
8	0.407974136
9	0.3918252546
10	0.3776482969
11	0.3653209297
12	0.3544539668
13	0.3448435706
14	0.3363932552
15	0.3291409544
16	0.3226423244
17	0.3166479343
18	0.3115060224
19	0.3070166894
20	0.302854219
21	0.2992433239
22	0.2960009316
23	0.2931070999
24	0.2905455893
25	0.2882348416
26	0.2862586237
27	0.2843964902
28	0.2825166366
29	0.2808457756
30	0.2793896726
31	0.2780024085
32	0.2769508237
33	0.2758272799
34	0.2747677444
35	0.2739588253
36	0.2731713326
37	0.2724919004
38	0.2718139734
39	0.2712429969
40	0.2705795588
41	0.2698700338
42	0.2692955932
43	0.2688469716
44	0.2684371125
45	0.2680710144
46	0.2677709682
47	0.2674115199
48	0.2670664993
49	0.2667847819
50	0.2664013028
51	0.2660673887
52	0.2657693041
53	0.265590216
54	0.2652836834
55	0.2650205128
56	0.2647414079
57	0.264435357
58	0.264289564
59	0.2641157878
60	0.2639563935
61	0.2637800953
62	0.2635031117
63	0.2633204426
64	0.2631951925
65	0.2628806355
66	0.2626373
67	0.2624823364
68	0.2622705994
69	0.2620883087
70	0.2619483348
71	0.2617958869
72	0.261661127
73	0.2614975841
74	0.2612770055
75	0.2611595933
76	0.2610281184
77	0.2609213104
78	0.2608490607
79	0.2607974664
80	0.2607073348
81	0.2605240477
82	0.260356744
83	0.2602454647
84	0.2601674476
85	0.2600432421
86	0.2599124182
87	0.2597999787
88	0.2596532886
89	0.259624503
90	0.2594124658
91	0.2593100612
92	0.2591820868
93	0.2589965873
94	0.2588794098
95	0.2587969713
96	0.2587274518
97	0.2586056365
98	0.2585197228
99	0.2584283704
100	0.2583154612
101	0.2582095588
102	0.2579934913
103	0.2579484397
104	0.2579145543
105	0.2577777171
106	0.2576128294
107	0.2574389935
108	0.2573063892
109	0.2571369088
110	0.2570804547
111	0.2569965704
112	0.2569391295
113	0.2569046429
114	0.2568070123
115	0.2567863082
116	0.2566885094
117	0.2565952432
118	0.2564720136
119	0.2564326152
120	0.2563502395
121	0.2561903795
122	0.2561376064
123	0.2560639905
124	0.2559085897
125	0.2558212122
126	0.2557610667
127	0.2557096503
128	0.2556730686
129	0.255608281
130	0.255557537
131	0.2554517079
132	0.2553226301
133	0.2552157429
134	0.2551092359
135	0.254965529
136	0.2548899092
137	0.2547247027
138	0.2546298653
139	0.2546131348
140	0.2545702747
141	0.2544915915
142	0.2544522127
143	0.2543610872
144	0.2542251828
145	0.2541626286
146	0.2540185917
147	0.2537874442
148	0.2536649989
149	0.2536272308
150	0.2535362661
151	0.2533833317
152	0.2533517639
153	0.253319155
154	0.2532981005
155	0.2532247394
156	0.2530892298
157	0.2529514378
158	0.2528815125
159	0.2528400266
160	0.2528091427
161	0.2527455343
162	0.2526836177
163	0.252530647
164	0.252333428
165	0.2521876967
166	0.2520043729
167	0.2519531043
168	0.2518088043
169	0.2517275953
170	0.2515938224
171	0.2515662259
172	0.2514844166
173	0.2513967233
174	0.2513298431
175	0.2513056161
176	0.2511928977
177	0.2511494837
178	0.251122684
179	0.2509828085
180	0.2509034687
181	0.2508573106
182	0.2508106215
183	0.2507335109
184	0.2506359388
185	0.2506020156
186	0.2504666725
187	0.2503759427
188	0.2502335606
189	0.2500935246
190	0.2500513731
191	0.2500240619
192	0.2499605654
193	0.2499426719
194	0.249857162
195	0.2498172834
196	0.2497699199
197	0.2496405651
198	0.2496229715
199	0.2495697505
200	0.2495107441
201	0.2494467549
202	0.2494100743
203	0.2492929015
204	0.2492430514
205	0.2492194442
206	0.249155004
207	0.2491303567
208	0.2490989116
209	0.2489622376
210	0.2489103804
211	0.2487835239
212	0.2486563425
213	0.2486079559
214	0.2485915317
215	0.2485565668
216	0.248517439
217	0.2485014449
218	0.2484213627
219	0.2483887686
220	0.2482966618
221	0.2482101399
222	0.2480974893
223	0.2480742768
224	0.247947989
225	0.2479266211
226	0.247871708
227	0.2478305375
228	0.2477057942
229	0.2475431861
230	0.2474583984
231	0.2474157665
232	0.2473930444
233	0.2473725968
234	0.2472269932
235	0.2471652571
236	0.2471108639
237	0.2469478074
238	0.2468340776
239	0.2467476093
240	0.246732687
241	0.2466524039
242	0.2466046959
243	0.2465749465
244	0.2464498373
245	0.2463660338
246	0.2462496125
247	0.2462246457
248	0.246192082
249	0.2461634757
250	0.2461391202
251	0.2460585847
252	0.2459699298
253	0.2459140511
254	0.2458895468
255	0.2458359232
256	0.2457380658
257	0.2456392113
258	0.2455606072
259	0.2455465678
260	0.2455258333
261	0.2454985164
262	0.2453902017
263	0.2452852851
264	0.2452606182
265	0.2452019079
266	0.2451819992
267	0.2451392934
268	0.2451212792
269	0.2450978633
270	0.2450758204
271	0.2449593228
272	0.2448615206
273	0.2447703871
274	0.2447518604
275	0.244730966
276	0.2446239634
277	0.2445737349
278	0.2444761235
279	0.2444347552
280	0.2443344219
281	0.2442936728
282	0.2441737574
283	0.2441329481
284	0.2440321983
285	0.2440142288
286	0.2439753584
287	0.2439630947
288	0.2439454573
289	0.2439051062
290	0.2438598216
291	0.2438427667
292	0.2438230599
293	0.2437099477
294	0.2436842297
295	0.2435782669
296	0.2435122488
297	0.2434729587
298	0.243456385
299	0.2434014655
