iter	Passed	Remaining
0	24	7393
1	39	5943
2	53	5308
3	62	4652
4	70	4160
5	78	3833
6	85	3590
7	92	3364
8	98	3186
9	105	3048
10	112	2961
11	119	2861
12	125	2772
13	132	2697
14	138	2629
15	144	2568
16	151	2515
17	157	2462
18	163	2415
19	169	2372
20	175	2336
21	182	2303
22	188	2270
23	194	2240
24	202	2230
25	210	2223
26	221	2236
27	228	2217
28	234	2193
29	241	2171
30	247	2147
31	253	2124
32	260	2105
33	266	2085
34	273	2067
35	279	2047
36	285	2029
37	291	2011
38	298	1994
39	304	1978
40	310	1962
41	316	1946
42	323	1932
43	329	1917
44	335	1902
45	342	1889
46	348	1874
47	354	1860
48	360	1847
49	366	1833
50	372	1820
51	380	1813
52	387	1805
53	395	1803
54	403	1795
55	409	1784
56	416	1774
57	422	1763
58	429	1752
59	435	1741
60	441	1730
61	448	1720
62	454	1709
63	460	1699
64	466	1688
65	473	1678
66	479	1667
67	485	1657
68	491	1647
69	498	1636
70	504	1626
71	510	1616
72	516	1606
73	523	1597
74	529	1588
75	535	1578
76	541	1569
77	548	1559
78	555	1553
79	562	1546
80	570	1543
81	577	1535
82	583	1526
83	590	1518
84	596	1509
85	602	1500
86	609	1491
87	615	1482
88	621	1474
89	627	1465
90	634	1457
91	640	1448
92	647	1440
93	653	1432
94	659	1423
95	665	1415
96	672	1406
97	678	1398
98	684	1390
99	691	1382
100	698	1375
101	706	1371
102	712	1363
103	719	1355
104	725	1346
105	732	1341
106	739	1334
107	748	1330
108	755	1323
109	762	1316
110	768	1308
111	774	1300
112	780	1292
113	787	1284
114	793	1277
115	800	1269
116	807	1262
117	813	1255
118	820	1247
119	826	1239
120	832	1232
121	839	1224
122	845	1216
123	851	1209
124	858	1201
125	864	1194
126	870	1186
127	877	1178
128	883	1171
129	889	1163
130	896	1156
131	902	1148
132	912	1145
133	920	1140
134	930	1137
135	940	1134
136	948	1128
137	958	1125
138	965	1118
139	972	1110
140	978	1103
141	985	1096
142	991	1088
143	999	1082
144	1007	1077
145	1014	1069
146	1021	1063
147	1031	1059
148	1038	1052
149	1048	1048
150	1059	1044
151	1067	1039
152	1077	1035
153	1088	1032
154	1096	1025
155	1105	1020
156	1114	1015
157	1123	1009
158	1130	1002
159	1137	995
160	1147	990
161	1154	983
162	1162	976
163	1171	971
164	1180	965
165	1187	958
166	1196	952
167	1205	947
168	1212	939
169	1219	932
170	1229	927
171	1236	920
172	1245	913
173	1255	909
174	1263	902
175	1271	895
176	1278	888
177	1289	884
178	1300	879
179	1307	871
180	1318	866
181	1325	859
182	1332	851
183	1342	846
184	1350	839
185	1357	832
186	1367	826
187	1375	819
188	1382	812
189	1391	805
190	1398	798
191	1406	791
192	1416	785
193	1423	777
194	1432	771
195	1442	765
196	1450	758
197	1460	752
198	1468	745
199	1475	737
200	1484	730
201	1492	723
202	1498	716
203	1505	708
204	1518	703
205	1526	696
206	1536	690
207	1542	682
208	1551	675
209	1560	668
210	1566	660
211	1575	653
212	1583	646
213	1589	638
214	1601	632
215	1609	625
216	1615	617
217	1625	611
218	1633	604
219	1641	596
220	1650	590
221	1657	582
222	1664	574
223	1673	567
224	1680	560
225	1687	552
226	1694	544
227	1701	537
228	1707	529
229	1714	521
230	1720	513
231	1726	506
232	1732	498
233	1739	490
234	1745	482
235	1752	475
236	1758	467
237	1764	459
238	1771	452
239	1778	444
240	1786	437
241	1793	429
242	1799	422
243	1806	414
244	1812	406
245	1819	399
246	1825	391
247	1831	384
248	1838	376
249	1844	368
250	1851	361
251	1857	353
252	1863	346
253	1870	338
254	1876	331
255	1882	323
256	1888	316
257	1895	308
258	1901	300
259	1907	293
260	1913	285
261	1920	278
262	1926	271
263	1932	263
264	1939	256
265	1945	248
266	1952	241
267	1959	234
268	1967	226
269	1973	219
270	1980	211
271	1986	204
272	1994	197
273	2000	189
274	2006	182
275	2012	175
276	2019	167
277	2025	160
278	2031	152
279	2038	145
280	2044	138
281	2050	130
282	2057	123
283	2063	116
284	2069	108
285	2075	101
286	2082	94
287	2088	87
288	2094	79
289	2100	72
290	2106	65
291	2112	57
292	2118	50
293	2126	43
294	2134	36
295	2141	28
296	2147	21
297	2154	14
298	2160	7
299	2166	0
