iter	Logloss
0	0.6755324604
1	0.6585137962
2	0.6424281596
3	0.6268969324
4	0.6121489711
5	0.5978103591
6	0.5838401576
7	0.5707232325
8	0.5577851528
9	0.5459466195
10	0.5341403266
11	0.5228566768
12	0.5120234376
13	0.5017637447
14	0.4920432347
15	0.4827010777
16	0.4738624842
17	0.4652000132
18	0.4570691691
19	0.4491996487
20	0.4412943255
21	0.4342548275
22	0.427236925
23	0.420791911
24	0.4145651785
25	0.4085332135
26	0.4026241973
27	0.3972669573
28	0.3918272651
29	0.3868894239
30	0.382003535
31	0.3774883621
32	0.37308176
33	0.368936729
34	0.3648656675
35	0.3610683528
36	0.3573955598
37	0.3536716085
38	0.3501293708
39	0.3468787301
40	0.3436787565
41	0.3407281291
42	0.3378858153
43	0.3350927243
44	0.3325107667
45	0.3299622078
46	0.3275610123
47	0.3250333077
48	0.3228347135
49	0.3205152733
50	0.3184848434
51	0.3161736037
52	0.3142873385
53	0.3123458388
54	0.3104964979
55	0.3089076226
56	0.3070889358
57	0.3055723294
58	0.3040211233
59	0.3025673822
60	0.3011688963
61	0.2998203719
62	0.2985252263
63	0.2972760655
64	0.2960393189
65	0.2949149589
66	0.2937582059
67	0.2927268747
68	0.2916700764
69	0.2906328891
70	0.2896933724
71	0.2888107937
72	0.2878381703
73	0.2869271519
74	0.2860326173
75	0.2852776801
76	0.2844654089
77	0.2837212525
78	0.2829906132
79	0.2822317821
80	0.2816589893
81	0.2809431656
82	0.2802309315
83	0.2796438964
84	0.2789294219
85	0.2783911593
86	0.2778993388
87	0.2772879801
88	0.2767759241
89	0.2762721014
90	0.2757393383
91	0.2752969473
92	0.2747998821
93	0.2743706915
94	0.2738991809
95	0.2735868357
96	0.2731528827
97	0.2727158272
98	0.2722636602
99	0.2718515688
100	0.2713862075
101	0.2710668655
102	0.2707087286
103	0.2704517669
104	0.2701213012
105	0.2697882861
106	0.2694557802
107	0.2691237604
108	0.2688301565
109	0.2685071069
110	0.2682692012
111	0.2680245594
112	0.2677558389
113	0.267460606
114	0.2671734004
115	0.2669216762
116	0.2666227243
117	0.2664237173
118	0.2662161172
119	0.2659870027
120	0.2657817814
121	0.2655381598
122	0.2653775046
123	0.2651635785
124	0.2649904771
125	0.2647440348
126	0.2645650332
127	0.2643720045
128	0.2642005019
129	0.2640129321
130	0.2638026497
131	0.2635480837
132	0.2633926994
133	0.2632149443
134	0.263064519
135	0.2628735629
136	0.2627370329
137	0.2625364575
138	0.2624474189
139	0.2623096815
140	0.2621462113
141	0.2619486527
142	0.2617630408
143	0.2616098255
144	0.2614341507
145	0.2613071516
146	0.2611586538
147	0.2609292895
148	0.2607931856
149	0.2606784765
150	0.2605007483
151	0.2603488744
152	0.260215443
153	0.2601345018
154	0.2600460525
155	0.2599111676
156	0.2597927215
157	0.2596606038
158	0.2595556445
159	0.2594107665
160	0.2592461215
161	0.2591234249
162	0.2590192001
163	0.258859457
164	0.2587640935
165	0.25866334
166	0.2585186185
167	0.2583880793
168	0.2582450923
169	0.258096875
170	0.2580116988
171	0.2579871563
172	0.2578422631
173	0.257717202
174	0.2576025228
175	0.2574542898
176	0.257346973
177	0.2572459752
178	0.2571473754
179	0.2570894044
180	0.2570263588
181	0.2568865702
182	0.256774231
183	0.2566761727
184	0.2565269784
185	0.256427383
186	0.2563456188
187	0.2562678877
188	0.2561347539
189	0.2560121063
190	0.255916012
191	0.2558189117
192	0.2557131198
193	0.2556385439
194	0.2555230351
195	0.2554607093
196	0.2553763766
197	0.2552875534
198	0.2552437916
199	0.2551773054
200	0.2551002522
201	0.2549935706
202	0.2549264104
203	0.2548158872
204	0.2547549238
205	0.2546753085
206	0.2545065154
207	0.254406308
208	0.2543072626
209	0.2541958437
210	0.2541193011
211	0.254008854
212	0.253936171
213	0.2538331006
214	0.2537477665
215	0.2536466317
216	0.2535748807
217	0.2534722812
218	0.2533857603
219	0.2533020885
220	0.2532207656
221	0.2531727807
222	0.2530849983
223	0.2530113369
224	0.2529583183
225	0.2528909939
226	0.2527828605
227	0.2526726309
228	0.2526049528
229	0.2525551826
230	0.2524507582
231	0.2523086839
232	0.2522232343
233	0.2521459709
234	0.2521020067
235	0.2520528094
236	0.2519070044
237	0.2518206013
238	0.2517683304
239	0.2516819274
240	0.2516379751
241	0.2515827337
242	0.251503429
243	0.251448315
244	0.2513830298
245	0.2513235184
246	0.2512394952
247	0.2511595343
248	0.2511056332
249	0.2510047383
