iter	Passed	Remaining
0	27	40500
1	44	32968
2	53	26466
3	61	22967
4	67	20136
5	75	18705
6	82	17701
7	90	16847
8	97	16206
9	103	15358
10	110	14984
11	118	14645
12	124	14289
13	132	14066
14	140	13890
15	147	13693
16	155	13543
17	162	13389
18	170	13284
19	180	13381
20	189	13374
21	201	13527
22	208	13359
23	214	13176
24	220	12996
25	227	12883
26	233	12748
27	238	12538
28	244	12409
29	250	12294
30	257	12189
31	263	12090
32	269	11988
33	276	11934
34	283	11854
35	289	11782
36	295	11702
37	304	11719
38	310	11638
39	316	11562
40	323	11509
41	329	11443
42	336	11390
43	342	11329
44	348	11258
45	354	11210
46	360	11154
47	368	11141
48	376	11142
49	387	11235
50	395	11222
51	400	11165
52	407	11112
53	413	11071
54	419	11033
55	424	10946
56	431	10912
57	437	10871
58	443	10835
59	450	10807
60	456	10763
61	462	10723
62	468	10697
63	473	10631
64	480	10601
65	486	10567
66	492	10537
67	499	10518
68	505	10486
69	511	10459
70	519	10454
71	525	10425
72	531	10396
73	538	10374
74	546	10374
75	553	10364
76	563	10404
77	569	10388
78	576	10364
79	582	10336
80	587	10296
81	594	10276
82	600	10254
83	607	10233
84	614	10236
85	621	10212
86	627	10190
87	634	10177
88	640	10156
89	646	10129
90	653	10114
91	659	10092
92	665	10066
93	671	10045
94	677	10025
95	682	9983
96	688	9964
97	694	9942
98	701	9926
99	707	9911
100	714	9891
101	722	9896
102	729	9895
103	737	9900
104	745	9902
105	751	9887
106	758	9874
107	764	9858
108	770	9837
109	777	9827
110	783	9808
111	789	9787
112	796	9770
113	802	9755
114	808	9742
115	815	9725
116	821	9710
117	829	9710
118	835	9696
119	841	9681
120	848	9667
121	854	9649
122	860	9631
123	866	9614
124	873	9611
125	879	9593
126	886	9579
127	892	9567
128	901	9579
129	908	9570
130	914	9558
131	921	9552
132	929	9555
133	936	9551
134	946	9575
135	954	9572
136	960	9557
137	967	9546
138	973	9534
139	980	9522
140	986	9506
141	993	9496
142	999	9484
143	1005	9470
144	1011	9455
145	1018	9444
146	1024	9434
147	1032	9429
148	1039	9425
149	1047	9426
150	1054	9421
151	1061	9410
152	1067	9398
153	1073	9383
154	1083	9399
155	1092	9410
156	1100	9415
157	1107	9407
158	1114	9399
159	1120	9385
160	1127	9373
161	1133	9361
162	1139	9349
163	1145	9335
164	1152	9321
165	1158	9308
166	1164	9298
167	1171	9284
168	1177	9271
169	1183	9262
170	1190	9249
171	1195	9229
172	1202	9220
173	1208	9209
174	1214	9197
175	1221	9189
176	1227	9177
177	1234	9166
178	1240	9157
179	1247	9144
180	1254	9145
181	1261	9137
182	1269	9135
183	1276	9132
184	1283	9121
185	1289	9110
186	1296	9103
187	1302	9093
188	1309	9080
189	1315	9071
190	1322	9061
191	1329	9053
192	1335	9044
193	1341	9031
194	1347	9019
195	1354	9008
196	1360	8997
197	1366	8985
198	1373	8978
199	1379	8966
200	1385	8955
201	1392	8944
202	1398	8934
203	1404	8921
204	1410	8911
205	1417	8905
206	1424	8896
207	1432	8900
208	1441	8901
209	1448	8897
210	1454	8884
211	1460	8875
212	1468	8874
213	1476	8875
214	1483	8869
215	1491	8863
216	1497	8853
217	1503	8842
218	1510	8832
219	1516	8824
220	1523	8815
221	1529	8804
222	1536	8796
223	1542	8787
224	1549	8777
225	1555	8767
226	1561	8757
227	1568	8749
228	1575	8742
229	1581	8732
230	1588	8724
231	1594	8714
232	1600	8704
233	1607	8694
234	1615	8693
235	1622	8691
236	1629	8682
237	1635	8671
238	1641	8661
239	1647	8650
240	1653	8638
241	1660	8629
242	1666	8619
243	1672	8609
244	1678	8598
245	1685	8590
246	1691	8582
247	1698	8574
248	1704	8562
249	1712	8560
250	1718	8551
251	1724	8542
252	1731	8536
253	1738	8527
254	1744	8518
255	1751	8509
256	1757	8500
257	1763	8490
258	1770	8481
259	1776	8471
260	1782	8462
261	1790	8460
262	1798	8459
263	1805	8453
264	1811	8444
265	1818	8435
266	1825	8428
267	1832	8421
268	1838	8413
269	1845	8405
270	1851	8397
271	1857	8387
272	1864	8379
273	1870	8369
274	1877	8364
275	1883	8355
276	1890	8347
277	1898	8343
278	1904	8336
279	1911	8328
280	1917	8319
281	1924	8311
282	1930	8302
283	1937	8296
284	1944	8289
285	1951	8282
286	1957	8273
287	1964	8265
288	1972	8264
289	1981	8265
290	1988	8260
291	1995	8257
292	2003	8254
293	2011	8251
294	2019	8250
295	2026	8242
296	2032	8234
297	2039	8228
298	2046	8219
299	2052	8211
300	2059	8202
301	2066	8198
302	2073	8190
303	2079	8182
304	2086	8174
305	2093	8169
306	2099	8159
307	2106	8152
308	2113	8146
309	2119	8137
310	2126	8128
311	2132	8121
312	2141	8121
313	2148	8114
314	2154	8106
315	2163	8104
316	2172	8105
317	2180	8104
318	2187	8100
319	2194	8092
320	2201	8084
321	2207	8076
322	2214	8069
323	2220	8061
324	2227	8053
325	2234	8048
326	2240	8038
327	2247	8031
328	2254	8023
329	2261	8017
330	2267	8008
331	2274	8000
332	2281	7995
333	2287	7986
334	2293	7976
335	2300	7969
336	2307	7962
337	2313	7954
338	2320	7947
339	2326	7938
340	2333	7931
341	2341	7928
342	2348	7922
343	2355	7916
344	2362	7909
345	2370	7905
346	2377	7901
347	2384	7894
348	2391	7886
349	2398	7879
350	2405	7873
351	2411	7865
352	2418	7857
353	2425	7852
354	2432	7845
355	2439	7837
356	2445	7828
357	2452	7822
358	2459	7815
359	2465	7807
360	2472	7801
361	2479	7793
362	2485	7786
363	2492	7778
364	2499	7772
365	2505	7763
366	2512	7755
367	2519	7750
368	2527	7747
369	2534	7740
370	2541	7733
371	2548	7726
372	2554	7719
373	2561	7711
374	2569	7708
375	2576	7701
376	2582	7693
377	2589	7687
378	2596	7680
379	2603	7672
380	2609	7665
381	2616	7658
382	2623	7650
383	2629	7641
384	2636	7634
385	2643	7627
386	2649	7619
387	2656	7612
388	2664	7608
389	2670	7601
390	2677	7592
391	2683	7586
392	2692	7585
393	2699	7577
394	2706	7570
395	2713	7565
396	2722	7564
397	2729	7557
398	2736	7552
399	2743	7545
400	2750	7537
401	2757	7532
402	2764	7525
403	2771	7517
404	2778	7511
405	2785	7505
406	2792	7498
407	2798	7490
